id,nombre ,equipo_id,goles,salario,posicion,nacionalidad,edad,imagen
,Etta Yong,16,0,5,delantero,Camerún,21,
,Iván Romero,16,0,10,delantero,España,24,
,Carlos Álvarez,16,0,7.3,centrocampista,España,22,
,Jon Ander,16,0,3.7,centrocampista,España,25,
,Pablo Martínez,16,0,9,centrocampista,España,27,
,Oriol Rey,16,0,3.1,centrocampista,España,27,
,Manu Sánchez,16,0,2,defensor,España,25,
,Matías Moreno,16,0,11,defensor,España,24,
,Unai Elgezabal,16,0,8,defensor,España,26,
,Jeremy Toljan,16,0,1.8,defensor,España,22,
,Mathew Ryan,16,0,6,portero,Australia,28,
,M. Dituro,9,0,0.56,portero,Argentina,38,
,Adrià Pedrosa,9,0,1.1,defensa,España,27,
,Bambo Diaby,9,0,0.84,defensa,España,27,
,Bigas,9,0,0.88,defensa,España,35,
,Álvaro Nuñez,9,0,0.26,defensa,España,25,
,John,9,0,0.52,defensa,España,24,
,L.Petrot,9,0,0.39,defensa,Francia,28,
,F.Redondo,9,0,4.5,centrocampista,España,22,
,Y.Santiago,9,0,0.15,centrocampista,España,22,
,M. Agudo,9,0,0.42,centrocampista,España,25,
,Germán V.,9,0,0.6,centrocampista,España,23,
,A.Febas,9,0,0.9,centrocampista,España,29,
,M. Neto,9,0,2,centrocampista,Portugal,22,
,André de Silva,9,0,4.1,delantero,Portugal,29,
,Rafa Mir,9,0,1.9,delantero,España,28,
,Álvaro R.,9,0,1.2,delantero,Uruguay,21,
,R. Mendoza,9,0,0.2,centrocampista,España,20,
,Grady Diangana,9,0,1.4,delantero,Congo,27,
,Héctor Fort,9,0,0.85,defensa,España,19,
,V. Chust,9,0,0.73,defensa,España,25,
,Letacek,7,0,0.6,Portero,Republica checa,26,
,Djene,7,0,1.8,Defensa,Togo,33,
,Abdel abkar,7,0,2.5,Defensa,Marruecos,26,
,Neyou,7,0,2,Centrocampista,Camerun,28,
,L.milla,7,0,1.5,Centrocampista,España,30,
,Mario martin,7,0,0.5,Centrocampista,España,21,
,Juanmi,7,0,2.5,Delantero,España,32,
,Arambarri,7,0,3.7,Centrocampista,Argentina,29,
,B. mayoral,7,0,4.8,Delantero,España,28,
,Kamara,7,0,0.5,Delantero,España,22,
,David soria,7,0,2.5,Portero,España,32,
,Javi muñoz,7,0,1.7,Centrocampista,España,30,
,Rico,7,0,2,Defensa,España,32,
,Kiko F,7,0,1.2,Defensa,España,34,
,Alex,7,0,1,Delantero,España,28,
,C. da costa,7,0,0.8,Delantero,Guinea,23,
,Iglesias,7,0,0.8,Defensa,España,27,
,Domingos D.,7,0,1.3,Defensa,Portugal,30,
,Liso,7,0,0.3,Delantero,España,20,
,Davinchi,7,0,0.3,Defensa,España,17,
,Antonio Sivera,8,0,1.56,Portero,España,29,
,Raúl Fernández,8,0,0.62,Portero,España,37,
,Facundo Garces,8,0,0.94,Defensa,Argentina,26,
,Youssef Enriquez,8,0,0.42,Defensa,Marruecos,19,
,Jon Pacheco,8,0,1,Defensa,España,24,
,Nikola Maras,8,0,0.84,Defensa,Serbia,29,
,Nahuel Tenaglia,8,0,0.94,Defensa,Argentina,29,
,Jonny Otto,8,0,1.66,Defensa,España,31,
,Moussa Diarra,8,0,0.8,Defensa,Malí,24,
,Víctor Parada,8,0,0.42,Defensa,España,23,
,Denis Suárez,8,0,1.87,Centrocampista,España,31,
,Ander Guevara,8,0,1.46,Centrocampista,España,28,
,Carlos Vicente,8,0,1,Centrocampista,España,26,
,Antonio Blanco,8,0,1.15,Centrocampista,España,25,
,Carles Aleñá,8,0,1.26,Centrocampista,España,27,
,Jon Guiridi,8,0,1.26,Centrocampista,España,30,
,Pablo Ibáñez,8,0,11,Centrocampista,España,27,
,Calebe Gonçalves,8,0,0.52,Centrocampista,Brazil,25,
,Abederrahmane Rebbach,8,0,0.73,Centrocampista,Algeria,27,
,Carlos Protesoni,8,0,0.33,Centrocampista,Uruguay,27,
,Lander Pinillos,8,0,,Centrocampista,España,21,
,Mariano Díaz,8,0,1.56,Delantero,R.Dominicana,32,
,Toni Martinez,8,0,1.87,Delantero,España,28,
,Lucas Boyé,8,0,2,Delantero,Argentina,29,
,Dani Cárdenas,10,0,0.7,Portero,España,27,
,Iván Balliu,10,0,1.2,Defensa,Albania,32,
,Abdul Mumin,10,0,0.9,Defensa,Ghana,26,
,Pep Chavarría,10,0,0.8,Defensa,España,26,
,Óscar Trejo,10,0,1.5,Mediocampista,Argentina,36,
,Isi Palazón,10,0,1.5,Mediocampista,España,29,
,Pathé Ciss,10,0,1.2,Mediocampista,Senegal,30,
,Álvaro García,10,0,1.8,Delantero,España,32,
,Sergio Camello,10,0,1,Delantero,España,24,
,Jorge De Frutos,10,0,0.8,Delantero,España,29,
,Unai López,10,0,1.2,Mediocampista,España,30,
,Luiz Felipe Ramos ,10,0,2,Defensa,Brazil,28,
,Álex Remiro,14,0,1.24,Portero,España,30,
,Caleta-Car,14,0,11.2,Defensa,Croacia,29,
,Igor Zubeldia,14,0,9.3,Defensa,España,28,
,Aihen Muñoz,14,0,0.41,Defensa,España,28,
,Jon Aramburu,14,0,0.52,Defensa,Venezuela,23,
,J. Gorrotxategi,14,0,0.1,Centrocampista,España,23,
,Carlos Soler,14,0,1,Centrocampista,España,28,
,Pablo Marín,14,0,0.26,Centrocampista,España,22,
,A. Barrenetxea,14,0,0.78,Delantero,España,23,
,Take Kubo,14,0,1.3,Delantero,Japón,24,
,M. Oyarzabal,14,0,1.5,Delantero,España,28,
,Ørjan Nyland,13,0,1,Portero,Noruega,35,
,José Ángel Carmona,13,0,0.5,Lateral Derecho,España,23,
,Fabio cardoso,13,0,1,Central,Portugal,31,
,Kike Salas,13,0,0.4,Central,España,23,
,Gabriel Suazo,13,0,1,Lateral Izquierdo,Chile,28,
,Nemanja Gudelj,13,0,2,Centrocampista def.,Serbia,33,
,Lucien Agoumé,13,0,1,Centrocampista def.,Francia,23,
,Djibril Sow,13,0,2,Centrocampista,Suiza,28,
,Rubén Vargas,13,0,1,Extremo izquierdo,Suiza,27,
,Chidera Ejuke,13,0,1,Extremo Izquierdo,Nigeria,27,
,Isaac Romero,13,0,0.3,Delantero Centro,España,25,
